Road Team            Home Team            Predicted    Close        Game Dif     W/L          Absolute Error
Akron                Bowling Green        -2.89        0.0          0            WIN          2.89
UMass                Ohio                 -36.55       0.0          0            WIN          36.55
Western Michigan     Northern Illinois    8.89         0.0          0            LOSS         8.89
Miami OH             Buffalo              5.11         0.0          0            LOSS         5.11
Central Michigan     Kent State           8.23         0.0          0            LOSS         8.23
Nicholls             SE Louisiana         -23.03       0.0          0            WIN          23.03
Louisiana            Arkansas State       -4.20        0.0          0            WIN          4.20
SF Austin            Northwestern State   36.30        0.0          0            LOSS         36.30
Florida State        NC State             2.42         0.0          0            LOSS         2.42
Hawai'i              UNLV                 -1.60        0.0          0            WIN          1.60
NC Central           Morgan State         15.74        0.0          0            LOSS         15.74
Tulsa                Army                 -9.66        0.0          0            WIN          9.66
Mercyhurst           CCSU                 -10.84       0.0          0            WIN          10.84
Wagner               LIU                  -11.96       0.0          0            WIN          11.96
Albany               Monmouth             -28.46       0.0          0            WIN          28.46
Western Carolina     VMI                  25.52        0.0          0            LOSS         25.52
Miami FL             Virginia Tech        22.88        0.0          0            LOSS         22.88
Rutgers              Ohio State           -30.24       0.0          0            WIN          30.24
Bryant               Stony Brook          -17.63       0.0          0            WIN          17.63
Delaware             Wake Forest          -27.52       0.0          0            WIN          27.52
Dartmouth            Brown                10.85        0.0          0            LOSS         10.85
Kansas               Iowa State           -9.93        0.0          0            WIN          9.93
Minnesota            Northwestern         -10.97       0.0          0            WIN          10.97
Missouri             Oklahoma             -15.45       0.0          0            WIN          15.45
Louisville           SMU                  -4.10        0.0          0            WIN          4.10
Samford              Texas A&M            -75.03       0.0          0            WIN          75.03
Harvard              Yale                 7.07         0.0          0            LOSS         7.07
Fordham              Merrimack            -14.40       0.0          0            WIN          14.40
Lehigh               Lafayette            14.90        0.0          0            LOSS         14.90
Charlotte            Georgia              -57.33       0.0          0            WIN          57.33
Marist               Presbyterian         -16.44       0.0          0            WIN          16.44
Saint Francis        Stonehill            -13.04       0.0          0            WIN          13.04
Campbell             Towson               -8.07        0.0          0            WIN          8.07
Pine Bluff           Alabama State        -30.95       0.0          0            WIN          30.95
Valparaiso           Butler               -25.03       0.0          0            WIN          25.03
Bucknell             Colgate              -10.54       0.0          0            WIN          10.54
Columbia             Cornell              -12.00       0.0          0            WIN          12.00
SC State             Delaware State       4.38         0.0          0            LOSS         4.38
The Citadel          ETSU                 -15.01       0.0          0            WIN          15.01
Murray State         Indiana State        -17.45       0.0          0            WIN          17.45
Washington State     James Madison        -7.37        0.0          0            WIN          7.37
Sacred Heart         Villanova            -16.76       0.0          0            WIN          16.76
