Road Team            Home Team            Predicted    Close        Game Dif     W/L          Absolute Error
Mississippi State    Texas A&M            -17.98       -17.5        -22          WIN          4.02
Miami FL             Florida State        13.69        3.5          6            WIN          7.69
Minnesota            Ohio State           -24.56       -23.5        -39          WIN          14.44
Colorado             TCU                  -11.22       -13.5        -14          LOSS         2.78
Montana              Idaho State          16.45        13.5         4            LOSS         12.45
Tulsa                Memphis              -21.77       -21.0        -38          WIN          16.23
Houston Christian    UTRGV                -9.82        -3.5         -20          WIN          10.18
UC Davis             Cal Poly             2.99         8.5          7            WIN          4.01
Duke                 Cal                  0.50         3.0          24           LOSS         23.50
Nevada               Fresno State         -14.29       -13.0        -3           LOSS         11.29
