Ranking,Team,Record,Conf,SubDiv,Rating,MoV,SoS,Last Year,Resume
174,Charlotte,1-3,Amer,FBS,-0.207,242,120,131,125
175,Southern Utah,1-4,UAC,FCS,-0.210,164,173,170,94
176,Penn,1-1,Ivy,FCS,-0.255,97,226,184,57
177,UMass,0-4,MAC,FBS,-0.261,259,82,152,130
178,Wofford,0-4,SoCon,FCS,-0.262,218,133,187,112
179,Holy Cross,0-5,PL,FCS,-0.276,182,171,175,124
180,Cornell,0-2,Ivy,FCS,-0.283,174,196,181,90
181,Idaho State,2-3,BSky,FCS,-0.284,101,234,180,58
182,Middle Tennessee,1-4,CUSA,FBS,-0.286,237,100,201,135
183,Eastern Michigan,1-4,MAC,FBS,-0.291,251,123,125,134
184,Eastern Washington,1-4,BSky,FCS,-0.299,234,143,154,85
185,Columbia,1-1,Ivy,FCS,-0.302,167,248,168,71
186,Princeton,1-1,Ivy,FCS,-0.309,49,225,213,52
187,Stony Brook,2-3,CAA,FCS,-0.320,175,202,161,73
188,Nicholls,1-4,SL,FCS,-0.320,221,150,197,74
189,Drake,1-2,PFL,FCS,-0.328,186,161,207,67
190,North Alabama,1-3,UAC,FCS,-0.329,154,212,191,99
191,Furman,3-1,SoCon,FCS,-0.329,82,236,223,31
192,William & Mary,2-3,CAA,FCS,-0.332,185,177,203,54
193,Eastern Kentucky,2-3,UAC,FCS,-0.332,233,141,183,43
194,Lindenwood,2-3,BSth-OVC,FCS,-0.333,178,187,195,48
195,The Citadel,2-3,SoCon,FCS,-0.334,212,159,200,39
196,Weber State,2-3,BSky,FCS,-0.334,225,148,194,42
197,Maine,1-4,CAA,FCS,-0.334,142,223,186,121
198,Northern Iowa,2-2,MVC,FCS,-0.336,140,213,204,55
199,Lafayette,3-2,PL,FCS,-0.349,117,228,217,45
200,UT Martin,1-4,BSth-OVC,FCS,-0.360,254,152,117,84
201,UTRGV,4-1,SL,FCS,-0.363,21,262,-,46
202,Indiana State,2-2,MVC,FCS,-0.363,190,157,224,51
203,Presbyterian,5-0,PFL,FCS,-0.372,12,261,239,8
204,Merrimack,2-3,-,FCS,-0.373,152,227,190,89
205,Kent State,1-3,MAC,FBS,-0.375,253,77,219,114
206,Chattanooga,1-4,SoCon,FCS,-0.376,231,185,130,101
207,Charleston Southern,1-4,BSth-OVC,FCS,-0.386,224,146,233,76
208,San Diego,3-2,PFL,FCS,-0.386,220,176,196,19
209,Tennessee State,1-3,BSth-OVC,FCS,-0.392,246,174,157,92
210,SE Missouri State,1-4,BSth-OVC,FCS,-0.398,250,149,158,86
211,Colgate,1-3,PL,FCS,-0.403,181,166,234,82
212,Portland State,0-5,BSky,FCS,-0.412,265,58,178,99
213,Delaware State,3-2,MEAC,FCS,-0.412,75,245,256,67
214,Northern Colorado,2-3,BSky,FCS,-0.423,138,214,245,79
215,Morgan State,2-3,MEAC,FCS,-0.424,160,216,218,87
216,CCSU,2-3,NEC,FCS,-0.426,148,235,209,97
217,Duquesne,2-3,NEC,FCS,-0.430,184,218,176,78
218,Bryant,2-3,CAA,FCS,-0.437,125,224,249,75
219,Utah Tech,1-4,UAC,FCS,-0.438,226,155,236,82
220,Alabama A&M,3-2,SWAC,FCS,-0.443,114,243,235,53
221,Mercyhurst,1-4,NEC,FCS,-0.445,223,139,257,80
222,Albany,1-4,CAA,FCS,-0.455,219,182,220,98
223,Central Arkansas,1-4,UAC,FCS,-0.462,255,154,179,95
224,St. Thomas,2-2,PFL,FCS,-0.472,115,240,238,67
225,Eastern Illinois,2-2,BSth-OVC,FCS,-0.473,173,230,211,65
226,McNeese,1-4,SL,FCS,-0.477,202,215,192,117
227,Howard,3-2,MEAC,FCS,-0.482,106,250,242,62
228,Brown,1-1,Ivy,FCS,-0.483,145,222,227,60
229,Campbell,1-4,CAA,FCS,-0.489,229,172,230,106
230,Prairie View,3-2,SWAC,FCS,-0.489,150,238,231,56
231,Samford,0-5,SoCon,FCS,-0.494,260,160,159,125
232,Western Illinois,1-4,BSth-OVC,FCS,-0.495,235,186,206,113
233,LIU,1-4,NEC,FCS,-0.500,209,201,222,96
234,Houston Christian,1-3,SL,FCS,-0.517,165,247,214,107
235,East Texas A&M,0-4,SL,FCS,-0.520,263,110,226,108
236,Grambling,3-2,SWAC,FCS,-0.524,172,237,221,70
237,Florida A&M,1-3,SWAC,FCS,-0.532,244,198,202,102
238,Bethune-Cookman,2-3,SWAC,FCS,-0.537,238,164,246,63
239,Murray State,0-4,MVC,FCS,-0.549,262,134,225,110
240,Sacred Heart,4-1,-,FCS,-0.556,153,241,250,26
241,Bucknell,3-2,PL,FCS,-0.559,177,242,216,65
242,Fordham,1-4,PL,FCS,-0.564,240,178,241,93
243,Robert Morris,1-3,NEC,FCS,-0.565,194,244,212,111
244,Butler,3-2,PFL,FCS,-0.571,128,257,210,88
245,Southern,1-4,SWAC,FCS,-0.582,239,188,237,114
246,Norfolk State,1-4,MEAC,FCS,-0.620,230,210,232,122
247,Texas Southern,1-3,SWAC,FCS,-0.629,232,209,240,103
248,New Haven,2-3,NEC,FCS,-0.633,170,251,-,109
249,VMI,1-3,SoCon,FCS,-0.640,196,239,244,103
250,Dayton,3-1,PFL,FCS,-0.651,56,263,255,61
251,Georgetown,2-3,PL,FCS,-0.673,169,253,247,118
252,Hampton,1-4,CAA,FCS,-0.682,213,252,205,127
253,Alcorn State,0-4,SWAC,FCS,-0.691,245,229,228,126
254,Wagner,1-4,NEC,FCS,-0.700,241,211,243,119
255,Northwestern State,1-3,SL,FCS,-0.727,249,151,261,77
256,Stonehill,2-3,NEC,FCS,-0.734,204,232,260,81
257,NC A&T,1-4,CAA,FCS,-0.737,257,194,251,116
258,Saint Francis,0-5,NEC,FCS,-0.783,258,203,248,128
259,Mississippi Valley State,0-4,SWAC,FCS,-0.801,256,199,258,123
260,Morehead State,2-3,PFL,FCS,-0.825,210,254,253,105
261,Pine Bluff,2-2,SWAC,FCS,-0.838,198,256,254,72
262,Marist,2-2,PFL,FCS,-0.856,144,255,262,91
263,Davidson,1-3,PFL,FCS,-0.968,252,258,252,115
264,Valparaiso,1-3,PFL,FCS,-1.009,215,260,259,120
265,Stetson,1-4,PFL,FCS,-1.291,243,264,263,129
