Road Team            Home Team            Predicted    Close        Game Dif     W/L          Absolute Error
Kennesaw State       FIU                  6.51         3.0          19           WIN          12.49
Western Kentucky     Louisiana Tech       -22.17       -5.5         1            LOSS         23.17
Middle Tennessee     Delaware             -14.88       -8.5         -3           LOSS         11.88
Missouri State       New Mexico State     5.62         2.5          7            WIN          1.38
South Alabama        Georgia State        0.51         6.0          7            LOSS         6.49
Columbia             Dartmouth            -13.41       -11.5        -46          WIN          32.59
North Texas          Charlotte            40.03        26.0         34           WIN          6.03
Cal                  Virginia Tech        -5.04        -6.5         -8           LOSS         2.96
Boise State          Nevada               31.89        21.0         21           PUSH         10.89
Montana              Sac State            8.40         6.0          14           WIN          5.60
Ohio                 Eastern Michigan     25.34        11.5         7            LOSS         18.34
UCLA                 Indiana              -33.31       -26.5        -50          WIN          16.69
Virginia             North Carolina       23.05        11.5         1            LOSS         22.05
App State            Old Dominion         -20.04       -13.5        -3           LOSS         17.04
Presbyterian         Dayton               7.24         9.5          -16          WIN          23.24
Duquesne             Wagner               18.03        26.5         -11          WIN          29.03
SMU                  Wake Forest          -1.67        3.5          -1           WIN          0.67
San Diego            Davidson             29.06        28.5         12           LOSS         17.06
Kansas State         Kansas               -1.99        -3.5         25           WIN          26.99
Northwestern         Nebraska             -5.58        -7.0         -7           PUSH         1.42
Ole Miss             Oklahoma             -5.28        -5.5         8            WIN          13.28
Georgetown           Bucknell             -0.85        -1.5         7            WIN          7.85
Syracuse             Georgia Tech         -22.01       -16.5        -25          WIN          2.99
Bowling Green        Kent State           4.59         8.5          -3           WIN          7.59
Drake                Marist               11.02        12.5         14           LOSS         2.98
Stonehill            Mercyhurst           -12.91       -7.0         7            LOSS         19.91
Harvard              Princeton            15.04        18.5         21           LOSS         5.96
Rutgers              Purdue               0.46         -2.5         3            WIN          2.54
USF                  Memphis              4.43         3.5          -3           LOSS         7.43
New Haven            LIU                  -6.62        -7.5         -22          LOSS         15.38
Penn                 Yale                 -5.00        -7.0         -22          LOSS         17.00
Auburn               Arkansas             7.44         -2.5         9            WIN          1.56
William & Mary       New Hampshire        -4.88        -1.5         -10          WIN          5.12
Brown                Cornell              1.49         2.5          -6           WIN          7.49
St. Thomas           Stetson              23.63        26.5         42           LOSS         18.37
Akron                Buffalo              -2.92        -10.0        8            WIN          10.92
Bryant               Rhode Island         -16.13       -19.5        -21          LOSS         4.87
SE Missouri State    Tennessee Tech       -26.38       -21.5        -19          LOSS         7.38
Morehead State       Valparaiso           2.69         6.5          4            WIN          1.31
Colgate              Holy Cross           3.36         -3.5         1            WIN          2.36
Delaware State       NC Central           -14.40       -15.5        9            WIN          23.40
Elon                 Maine                -4.53        4.5          -21          WIN          16.47
Campbell             NC A&T               6.19         3.0          -4           LOSS         10.19
Lehigh               Fordham              31.76        24.5         21           LOSS         10.76
SC State             Norfolk State        18.96        14.0         31           WIN          12.04
Illinois State       South Dakota         -8.04        -4.5         8            LOSS         16.04
Murray State         Youngstown State     -29.48       -23.5        -34          WIN          4.52
The Citadel          Furman               -1.34        -3.0         -10          LOSS         8.66
Eastern Illinois     Charleston Southern  -11.80       -3.0         -1           LOSS         10.80
Monmouth             Hampton              29.15        24.5         18           LOSS         11.15
Central Arkansas     West Georgia         -14.11       -5.5         -1           LOSS         13.11
Western Illinois     Tennessee State      4.08         -3.0         1            WIN          3.08
Pine Bluff           Bethune-Cookman      -14.60       -12.5        -17          WIN          2.40
Mississippi Valley StAlcorn State         -3.06        -11.5        -22          LOSS         18.94
San Diego State      Fresno State         12.75        3.0          23           WIN          10.25
SE Louisiana         Houston Christian    33.04        23.0         24           WIN          9.04
Gardner-Webb         Lindenwood           3.56         1.5          28           WIN          24.44
Lincoln CA           Prairie View         -52.67                    -38                       14.67
UConn                Rice                 14.05        10.5         -3           LOSS         17.05
Northern Iowa        Southern Illinois    -18.83       -14.5        -14          LOSS         4.83
Tarleton State       Eastern Kentucky     26.94        23.5         24           WIN          2.94
Utah State           New Mexico           3.77         -3.0         -19          LOSS         22.77
