Road Team            Home Team            Predicted    Close        Game Dif     W/L          Absolute Error
New Mexico State     Liberty              -8.94        -10.5        -3           WIN          5.94
Arkansas State       South Alabama        -5.65        -8.0         1            WIN          6.65
FIU                  Western Kentucky     -6.55        -10.0        19           WIN          25.55
Delaware             Jax State            1.46         3.0          -13          WIN          14.46
UTEP                 Sam Houston          -3.23        3.5          18           LOSS         21.23
Tulsa                East Carolina        -19.41       -16.5        -14          LOSS         5.41
Louisville           Miami FL             -14.77       -10.5        3            LOSS         17.77
Nebraska             Minnesota            6.96         7.0          -18          WIN          24.96
San Jose State       Utah State           -8.02        -3.5         -5           WIN          3.02
North Carolina       Cal                  -10.33       -7.5         -3           LOSS         7.33
Central Michigan     Bowling Green        -13.80       -3.0         21           LOSS         34.80
Butler               Dayton               -5.67        -3.5         6            LOSS         11.67
Washington           Michigan             0.53         -4.5         -17          LOSS         17.53
UConn                Boston College       7.55         2.5          15           WIN          7.45
Georgia Tech         Duke                 7.52         -3.5         9            WIN          1.48
Merrimack            Harvard              -25.33       -26.5        -24          WIN          1.33
Stonehill            Yale                 -24.89       -22.5        -40          WIN          15.11
Robert Morris        LIU                  -8.23        -8.5         -10          LOSS         1.77
Eastern Michigan     Miami OH             -26.10       -12.5        -14          WIN          12.10
Furman               Wofford              -2.75        -1.5         -18          WIN          15.25
Princeton            Brown                -2.40        -3.5         19           WIN          21.40
Arizona              Houston              0.02         1.5          -3           WIN          3.02
Baylor               TCU                  -11.19       -3.0         -6           WIN          5.19
Army                 Tulane               -16.57       -10.0        -7           LOSS         9.57
LSU                  Vanderbilt           1.34         -1.5         -7           LOSS         8.34
Oklahoma             South Carolina       6.07         4.0          19           WIN          12.93
North Dakota State   Indiana State        33.46        33.5         31           WIN          2.46
West Virginia        UCF                  -10.95       -6.5         -32          WIN          21.05
Colgate              Georgetown           13.27        6.5          -4           LOSS         17.27
Bucknell             Cornell              -8.53        -4.0         -10          WIN          1.47
Dartmouth            Fordham              17.17        12.5         17           WIN          0.17
Davidson             Drake                -34.58       -33.5        -45          WIN          10.42
Stony Brook          Monmouth             -12.05       -9.5         -28          WIN          15.95
Stetson              Presbyterian         -31.85       -33.5        -35          LOSS         3.15
Hampton              Villanova            -30.52       -24.5        -42          WIN          11.48
Samford              VMI                  3.77         3.5          2            LOSS         1.77
ETSU                 Chattanooga          10.38        4.5          -4           LOSS         14.38
Penn                 Columbia             6.75         7.5          14           LOSS         7.25
UT Martin            Gardner-Webb         -31.23       -7.5         30           LOSS         61.23
Marist               Morehead State       9.73         8.5          -2           LOSS         11.73
Valparaiso           St. Thomas           -29.32       -29.5        -38          LOSS         8.68
South Dakota         Northern Iowa        8.43         5.5          3            LOSS         5.43
Holy Cross           Richmond             -9.10        -5.5         6            LOSS         15.10
Kent State           Toledo               -27.72       -25.5        -35          WIN          7.28
Western Carolina     The Citadel          4.64         10.5         7            WIN          2.36
Tennessee Tech       Lindenwood           14.53        16.5         24           LOSS         9.47
Buffalo              UMass                12.51        15.5         7            WIN          5.51
Purdue               Northwestern         -3.96        -3.0         -19          WIN          15.04
Eastern Illinois     SE Missouri State    -1.94        -7.5         -29          LOSS         27.06
Lincoln CA           Mississippi Valley St-42.43                    -49                       6.57
Grambling            Pine Bluff           7.30         8.5          4            WIN          3.30
Youngstown State     Illinois State       -2.67        -2.5         5            LOSS         7.67
Troy                 Louisiana-Monroe     3.10         4.5          23           LOSS         19.90
North Dakota         Southern Illinois    4.97         3.5          19           WIN          14.03
Virginia Lynchburg   Texas Southern       -48.60                    -51                       2.40
Sacred Heart         Montana              -29.93       -26.5        -22          LOSS         7.93
Temple               Charlotte            16.47        9.5          35           WIN          18.53
UTSA                 North Texas          -7.82        -4.0         -38          WIN          30.18
Coastal Carolina     App State            -4.86        -10.5        8            WIN          12.86
Akron                Ball State           -1.20        2.5          -14          WIN          12.80
Michigan State       Indiana              -30.81       -26.5        -25          LOSS         5.81
Northern Illinois    Ohio                 -16.48       -10.5        -27          WIN          10.52
Texas A&M            Arkansas             15.27        7.5          3            LOSS         12.27
SMU                  Clemson              -2.66        -3.5         11           WIN          13.66
Ole Miss             Georgia              -4.00        -7.0         -8           LOSS         4.00
Old Dominion         James Madison        2.90         -3.0         -36          LOSS         38.90
Texas State          Marshall             -6.56        3.0          -3           WIN          3.56
Ohio State           Wisconsin            31.48        24.5         34           WIN          2.52
Wyoming              Air Force            -2.71        -4.0         -3           WIN          0.29
UNLV                 Boise State          -8.82        -13.5        -25          LOSS         16.18
Rhode Island         Albany               8.95         14.0         41           LOSS         32.05
New Hampshire        Campbell             6.69         3.5          14           WIN          7.31
Elon                 William & Mary       4.15         1.5          -5           LOSS         9.15
Alcorn State         Florida A&M          -10.99       -4.5         -5           WIN          5.99
Texas Tech           Arizona State        7.99         7.5          -4           LOSS         11.99
UTRGV                Lamar                -15.07       -4.5         -2           LOSS         13.07
Memphis              UAB                  28.32        23.5         -7           LOSS         35.32
Charleston Southern  Western Illinois     7.78         1.5          5            WIN          2.78
Mississippi State    Florida              -4.97        -9.5         -2           WIN          2.97
Weber State          Portland State       0.01         5.5          16           LOSS         15.99
Southern Miss        Louisiana            9.46         5.5          12           WIN          2.54
CCSU                 Wagner               10.85        9.5          7            LOSS         3.85
Northwestern State   SE Louisiana         -39.32       -30.5        -49          WIN          9.68
Prairie View         Southern             2.39         6.0          21           LOSS         18.61
Howard               Tennessee State      6.34         2.5          -17          LOSS         23.34
East Texas A&M       Incarnate Word       -6.12        -18.5        7            WIN          13.12
Duquesne             Mercyhurst           -7.04        3.0          37           LOSS         44.04
Oregon               Rutgers              14.41        17.5         46           LOSS         31.59
Washington State     Virginia             -13.61       -15.5        -2           WIN          11.61
Eastern Kentucky     North Alabama        7.57         11.5         -21          WIN          28.57
Nicholls             SF Austin            -13.86       -14.0        -27          LOSS         13.14
Idaho                Eastern Washington   5.30         8.5          -7           WIN          12.30
Maryland             UCLA                 13.25        -3.5         -3           WIN          16.25
Texas                Kentucky             6.65         11.5         3            WIN          3.65
Houston Christian    McNeese              -2.60        -6.5         -27          LOSS         24.40
Georgia State        Georgia Southern     -4.03        -6.5         -17          LOSS         12.97
Penn State           Iowa                 -6.04        -3.0         -1           LOSS         5.04
South Dakota State   Murray State         40.81        37.5         21           LOSS         19.81
West Georgia         Tarleton State       -10.99       -20.5        -35          LOSS         24.01
Hawai'i              Colorado State       0.89         -2.5         12           WIN          11.11
FAU                  USF                  -17.65       -20.5        -35          LOSS         17.35
USC                  Notre Dame           -10.89       -10.5        -10          LOSS         0.89
Pitt                 Syracuse             5.30         9.5          17           LOSS         11.70
Tennessee            Alabama              -3.82        -9.5         -17          LOSS         13.18
Missouri             Auburn               -5.92        1.5          6            LOSS         11.92
Utah                 BYU                  3.14         4.5          -3           WIN          6.14
Cincinnati           Oklahoma State       30.24        23.5         32           WIN          1.76
Abilene Christian    Southern Utah        4.71         3.5          -7           LOSS         11.71
Northern Colorado    Sac State            -11.54       -14.5        -5           WIN          6.54
Nevada               New Mexico           -15.97       -13.5        -2           LOSS         13.97
Lafayette            Oregon State         -9.15        -21.5        -32          LOSS         22.85
Florida State        Stanford             18.03        17.5         -7           LOSS         25.03
