Ranking    Team                Record     Conf       SubDiv     Rating     MoV        SoS        Last Year
109        Idaho State         3-0        BSky       FCS        0.123      -          -          121
110        Arkansas State      1-1        SB         FBS        0.116      -          -          108
111        Oklahoma State      1-1        B12        FBS        0.109      -          -          135
112        Missouri State      1-1        CUSA       FBS        0.109      -          -          124
113        Louisiana           1-1        SB         FBS        0.109      -          -          138
114        South Alabama       1-1        SB         FBS        0.107      -          -          136
115        Kennesaw State      1-1        CUSA       FBS        0.106      -          -          92
116        Tennessee Tech      3-0        SoCon      FCS        0.096      -          -          114
117        Yale                0-0        Ivy        FCS        0.087      -          -          111
118        South Dakota State  2-1        MVC        FCS        0.079      -          -          112
119        Austin Peay         2-1        UAC        FCS        0.076      -          -          130
120        Oregon State        0-2        P12        FBS        0.074      -          -          143
121        Liberty             1-1        CUSA       FBS        0.051      -          -          113
122        Harvard             0-0        Ivy        FCS        0.051      -          -          122
123        Youngstown State    2-1        MVC        FCS        0.050      -          -          117
124        Air Force           1-1        MW         FBS        0.049      -          -          118
125        Mercer              2-1        SoCon      FCS        0.049      -          -          120
126        Central Michigan    1-1        MAC        FBS        0.040      -          -          96
127        Marshall            1-1        SB         FBS        0.039      -          -          107
128        Troy                2-0        SB         FBS        0.039      -          -          128
129        UC Davis            2-1        BSky       FCS        0.035      -          -          102
130        Delaware            1-1        CUSA       FBS        0.029      -          -          142
131        Georgia State       2-0        SB         FBS        0.029      -          -          159
132        Colorado State      2-0        P12        FBS        0.017      -          -          158
133        Southern Miss       1-1        SB         FBS        -0.011     -          -          123
134        Southern Illinois   2-1        MVC        FCS        -0.022     -          -          93
135        San Jose State      2-1        MW         FBS        -0.038     -          -          144
136        Rhode Island        2-1        CAA        FCS        -0.040     -          -          132
137        Northern Arizona    2-1        BSky       FCS        -0.042     -          -          129
138        Coastal Carolina    1-1        SB         FBS        -0.046     -          -          133
139        Nevada              1-1        MW         FBS        -0.047     -          -          157
140        Villanova           1-2        PL         FCS        -0.074     -          -          127
141        Rice                1-1        Amer       FBS        -0.075     -          -          148
142        Abilene Christian   0-3        UAC        FCS        -0.081     -          -          116
143        New Mexico State    1-2        CUSA       FBS        -0.083     -          -          160
144        SC State            3-0        MEAC       FCS        -0.083     -          -          161
145        Dartmouth           0-0        Ivy        FCS        -0.091     -          -          153
146        Eastern Michigan    1-2        MAC        FBS        -0.100     -          -          166
147        UAB                 1-1        Amer       FBS        -0.100     -          -          156
148        Akron               1-1        MAC        FBS        -0.104     -          -          155
149        Northern Illinois   0-2        MW         FBS        -0.105     -          -          150
150        Wyoming             1-1        MW         FBS        -0.106     -          -          140
151        Western Kentucky    0-2        CUSA       FBS        -0.109     -          -          131
152        Southern Utah       1-2        BSky       FCS        -0.110     -          -          134
153        Bowling Green       0-2        MAC        FBS        -0.115     -          -          146
154        Cal Poly            2-1        BSky       FCS        -0.123     -          -          154
155        Gardner-Webb        0-3        OVC        FCS        -0.137     -          -          152
156        Kent State          1-1        MAC        FBS        -0.143     -          -          162
157        Buffalo             1-1        MAC        FBS        -0.145     -          -          147
158        Ball State          1-1        MAC        FBS        -0.149     -          -          182
159        Western Carolina    1-2        SoCon      FCS        -0.151     -          -          141
160        West Florida        2-0        UAC        FCS        -0.154     -          -          -
161        Penn                0-0        Ivy        FCS        -0.158     -          -          165
162        Wofford             2-1        SoCon      FCS        -0.168     -          -          177
163        Sac State           1-2        MAC        FBS        -0.177     -          -          137
