Ranking,Team,Record,Conf,SubDiv,Rating,MoV,SoS,Last Year
234,Houston Christian,3-Jan,SL,FCS,-0.517,165,247,214
235,East Texas A&M,0-4,SL,FCS,-0.52,263,110,226
236,Grambling,2-Mar,SWAC,FCS,-0.524,172,237,221
237,Florida A&M,3-Jan,SWAC,FCS,-0.532,244,198,202
238,Bethune-Cookman,3-Feb,SWAC,FCS,-0.537,238,164,246
239,Murray State,0-4,MVC,FCS,-0.549,262,134,225
240,Sacred Heart,1-Apr,-,FCS,-0.556,153,241,250
241,Bucknell,2-Mar,PL,FCS,-0.559,177,242,216
242,Fordham,4-Jan,PL,FCS,-0.564,240,178,241
243,Robert Morris,3-Jan,NEC,FCS,-0.565,194,244,212
244,Butler,2-Mar,PFL,FCS,-0.571,128,257,210
245,Southern,4-Jan,SWAC,FCS,-0.582,239,188,237
246,Norfolk State,4-Jan,MEAC,FCS,-0.62,230,210,232
247,Texas Southern,3-Jan,SWAC,FCS,-0.629,232,209,240
248,New Haven,3-Feb,NEC,FCS,-0.633,170,251,-
249,VMI,3-Jan,SoCon,FCS,-0.64,196,239,244
250,Dayton,1-Mar,PFL,FCS,-0.651,56,263,255
251,Georgetown,3-Feb,PL,FCS,-0.673,169,253,247
252,Hampton,4-Jan,CAA,FCS,-0.682,213,252,205
253,Alcorn State,0-4,SWAC,FCS,-0.691,245,229,228
254,Wagner,4-Jan,NEC,FCS,-0.7,241,211,243
255,Northwestern State,3-Jan,SL,FCS,-0.727,249,151,261
256,Stonehill,3-Feb,NEC,FCS,-0.734,204,232,260
257,NC A&T,4-Jan,CAA,FCS,-0.737,257,194,251
258,Saint Francis,0-5,NEC,FCS,-0.783,258,203,248
259,Mississippi Valley State,0-4,SWAC,FCS,-0.801,256,199,258
260,Morehead State,3-Feb,PFL,FCS,-0.825,210,254,253
261,Pine Bluff,2-Feb,SWAC,FCS,-0.838,198,256,254
262,Marist,2-Feb,PFL,FCS,-0.856,144,255,262
263,Davidson,3-Jan,PFL,FCS,-0.968,252,258,252
264,Valparaiso,3-Jan,PFL,FCS,-1.009,215,260,259
265,Stetson,4-Jan,PFL,FCS,-1.291,243,264,263
